year,tmID,W,L
1,HOU,6,0
1,ORL,1,2
1,CLE,3,3
1,WAS,0,2
1,NYL,4,3
1,PHO,0,2
1,LAS,2,2
1,SAC,0,2
2,CLE,1,2
2,CHA,4,4
2,MIA,1,2
2,NYL,3,3
2,HOU,0,2
2,LAS,6,1
2,UTA,0,2
2,SAC,3,2
3,WAS,3,2
3,SEA,0,2
3,LAS,6,0
3,HOU,1,2
3,UTA,2,3
3,IND,1,2
3,NYL,4,4
3,CHA,0,2
4,SAC,3,3
4,CLE,1,2
4,DET,6,2
4,CHA,0,2
4,CON,2,2
4,MIN,1,2
4,LAS,5,4
4,HOU,1,2
5,WAS,1,2
5,CON,5,3
5,DET,1,2
5,NYL,2,3
5,MIN,0,2
5,SEA,6,2
5,LAS,1,2
5,SAC,3,3
6,CON,5,3
6,NYL,0,2
6,IND,2,2
6,SEA,1,2
6,HOU,2,3
6,LAS,0,2
6,SAC,7,1
6,DET,0,2
7,LAS,2,3
7,HOU,0,2
7,SAC,6,3
7,IND,0,2
7,DET,7,3
7,WAS,0,2
7,CON,3,2
7,SEA,1,2
8,NYL,1,2
8,DET,6,5
8,CON,1,2
8,IND,3,3
8,SEA,0,2
8,PHO,7,2
8,SAC,1,2
8,SAS,2,3
9,SAS,4,5
9,SEA,1,2
9,LAS,3,3
9,IND,1,2
9,DET,7,2
9,CON,1,2
9,NYL,3,3
9,SAC,1,2
10,IND,6,4
10,ATL,0,2
10,DET,3,2
10,SAS,1,2
10,PHO,7,4
10,SEA,1,2
10,LAS,3,3
10,WAS,0,2
